,RaceDesc,OverallJobAccess_D,lowwagelaborforce_D,Access30Transit_D,Access30Transit_ts_D,spatialmismatch_D,SAP,Agency,Language,stage,Age_bin,total_boardings
33480,4,4,4,4,4,4,1,0,0,1,3,21.0
33482,1,4,4,4,4,4,0,3,5,1,1,0.0
33484,4,4,4,4,4,4,1,0,0,1,5,2.0
33486,0,4,3,3,3,3,0,0,0,1,2,0.0
33487,0,4,3,3,3,3,0,1,0,3,3,0.0
33488,1,4,3,3,3,3,0,3,0,3,2,35.0
33493,6,4,3,3,3,3,0,1,0,1,3,0.0
33494,3,4,3,3,3,3,0,3,0,2,1,0.0
33495,0,4,3,3,3,3,0,1,0,4,4,33.0
33502,1,4,3,3,3,3,0,1,0,1,2,0.0
33503,2,4,3,3,3,3,0,1,0,3,2,0.0
33504,1,4,3,3,3,3,0,1,0,3,3,0.0
33505,0,4,3,3,3,3,0,0,0,3,5,109.0
33509,0,4,3,3,3,3,0,4,0,2,4,15.0
33515,4,4,3,3,3,3,0,5,0,2,1,0.0
33516,8,4,3,3,3,3,1,0,0,3,1,0.0
33517,1,4,3,3,3,3,1,2,0,2,1,0.0
33518,1,4,3,3,3,3,0,0,0,2,3,0.0
33519,0,4,3,3,3,3,0,5,0,2,1,0.0
33520,4,4,3,3,3,3,1,3,0,3,2,6.0
33522,1,4,3,3,3,3,0,1,0,2,0,0.0
33525,0,4,3,3,3,3,0,1,0,2,3,0.0
33526,6,4,3,3,3,3,1,2,0,2,2,0.0
33527,0,4,3,3,3,3,0,1,0,2,0,0.0
33529,3,4,3,3,3,3,0,0,0,3,1,0.0
33530,6,4,3,3,3,3,0,0,0,1,2,0.0
33532,0,4,3,3,3,3,0,0,0,1,3,0.0
33533,0,4,3,3,3,3,0,0,0,1,3,227.0
33534,0,4,3,3,3,3,1,3,0,2,3,0.0
33535,0,4,3,3,3,3,1,3,0,2,3,227.0
33576,5,4,3,3,3,3,0,0,0,1,3,0.0
33578,5,4,3,3,3,3,0,3,0,2,3,0.0
33580,0,4,3,3,3,3,1,2,0,1,2,0.0
33581,0,4,3,3,3,3,0,1,0,1,3,0.0
33582,0,4,3,3,3,3,0,1,0,1,2,0.0
33583,0,4,3,3,3,3,0,0,0,1,1,0.0
33584,1,4,3,3,3,3,1,2,0,1,5,159.0
33596,1,4,3,3,3,3,0,1,0,1,1,0.0
33597,0,4,3,3,3,3,0,1,0,1,1,0.0
33598,5,4,3,3,3,3,0,1,0,1,1,0.0
33599,5,4,3,3,3,3,0,1,0,1,2,0.0
33603,0,4,3,3,3,3,0,1,0,1,4,0.0
33605,1,4,3,3,3,3,1,2,0,1,4,0.0
33607,1,4,3,3,3,3,0,1,0,1,5,0.0
33610,0,4,3,3,3,3,0,1,0,1,0,0.0
33611,4,4,3,3,3,3,0,1,0,1,2,0.0
33614,0,4,3,3,3,3,0,0,0,1,4,0.0
33616,0,4,3,3,3,3,0,0,0,1,0,14.0
33622,8,4,3,3,3,3,0,0,0,1,2,0.0
33623,7,4,2,4,4,1,1,3,0,2,3,0.0
33624,2,4,2,4,4,1,1,0,1,1,5,168.0
33644,0,4,2,4,4,1,0,0,0,2,3,0.0
33645,3,4,2,4,4,1,0,5,2,3,5,458.0
33663,7,4,2,4,4,1,0,3,0,1,3,0.0
33664,3,4,2,4,4,1,0,0,2,2,2,806.0
33687,3,4,2,4,4,1,0,0,0,2,1,0.0
33688,0,4,2,4,4,1,0,0,0,2,2,1.0
33689,4,4,2,4,4,1,1,3,0,4,2,114.0
33707,0,4,2,4,4,1,1,0,0,2,2,7.0
33709,1,4,2,4,4,1,1,0,0,2,3,339.0
33730,3,4,2,4,4,1,0,0,2,2,3,154.0
33772,2,4,2,4,4,1,0,0,5,2,4,0.0
33773,2,4,2,4,4,1,1,0,1,1,5,670.0
33814,7,4,2,4,4,1,0,4,0,1,1,0.0
33817,6,4,2,4,4,1,0,1,0,1,3,0.0
33818,0,4,2,4,4,1,0,0,0,1,2,6.0
33819,1,2,4,3,2,4,0,0,5,3,4,338.0
33834,7,2,4,3,2,4,0,0,0,2,2,0.0
33835,0,2,4,3,2,4,0,0,0,1,0,0.0
33836,2,2,4,3,2,4,0,0,0,1,3,453.0
33877,0,2,4,3,2,4,1,0,5,1,5,0.0
33879,1,2,4,3,2,4,0,1,0,1,1,0.0
33880,0,2,4,3,2,4,0,1,0,1,4,0.0
33881,0,2,4,3,2,4,0,0,0,1,4,0.0
33883,3,4,2,4,4,1,0,5,2,2,2,0.0
33884,3,4,2,4,4,1,0,5,2,1,4,0.0
33885,4,4,2,4,4,1,0,0,5,3,0,0.0
33886,1,4,2,4,4,1,1,0,0,3,4,0.0
33888,1,4,2,4,4,1,1,0,0,4,4,0.0
33890,3,4,2,4,4,1,0,0,0,4,1,151.0
33913,1,4,2,4,4,1,1,0,0,2,3,0.0
33915,1,4,2,4,4,1,1,0,0,3,3,0.0
33917,0,4,2,4,4,1,0,4,0,2,2,0.0
33918,4,4,2,4,4,1,0,0,0,2,3,11.0
33923,2,4,2,4,4,1,1,0,1,2,5,15.0
33927,3,4,2,4,4,1,0,0,0,1,1,1.0
33928,0,4,2,4,4,1,0,0,0,1,4,430.0
33966,4,4,2,4,4,1,1,0,0,1,0,0.0
33968,1,4,2,4,4,1,1,3,0,1,4,403.0
33987,1,4,2,4,4,1,1,3,0,1,3,0.0
33988,1,4,2,4,4,1,1,3,0,1,1,0.0
33989,0,4,2,4,4,1,0,0,0,1,1,0.0
33990,1,4,2,4,4,1,0,0,0,1,4,16.0
33993,0,4,2,4,4,1,0,0,0,1,1,394.0
34039,0,4,2,4,4,1,0,4,0,1,1,26.0
34049,0,4,2,4,4,1,1,2,0,2,1,912.0
34105,0,4,2,4,4,1,0,0,0,1,0,9.0
34107,3,3,3,3,3,3,0,0,2,2,1,2.0
34108,1,3,3,3,3,3,1,0,0,1,4,67.0
34113,1,3,3,3,3,3,0,1,0,2,2,5.0
34116,1,3,3,3,3,3,0,0,0,2,2,0.0
34117,2,3,3,3,3,3,0,0,4,2,1,95.0
34125,2,3,3,3,3,3,1,0,4,1,5,948.0
34163,0,3,3,3,3,3,0,0,0,1,4,0.0
34164,4,4,2,4,4,1,0,0,0,2,4,0.0
34166,0,4,2,4,4,1,0,0,0,2,1,58.0
34178,1,4,2,4,4,1,0,4,0,2,2,39.0
34192,3,4,2,4,4,1,0,0,0,2,3,110.0
34203,1,4,2,4,4,1,1,3,0,2,3,0.0
34204,1,4,2,4,4,1,1,3,0,2,0,0.0
34205,0,4,2,4,4,1,1,3,0,3,3,0.0
34207,2,4,2,4,4,1,0,0,0,1,4,11.0
34212,2,4,2,4,4,1,0,0,0,1,4,10.0
34217,1,4,2,4,4,1,1,0,0,1,5,0.0
34218,0,4,2,4,4,1,0,4,0,1,2,0.0
34219,4,4,2,4,4,1,0,0,0,1,4,220.0
34249,2,4,2,4,4,1,1,0,4,1,5,45.0
34266,0,4,2,4,4,1,0,0,0,1,1,67.0
34285,1,4,2,4,4,1,0,0,0,1,1,14.0
34292,1,2,2,3,3,2,0,0,0,2,3,0.0
34293,0,2,2,3,3,2,1,0,0,1,3,12.0
34297,0,3,3,4,4,2,1,3,0,3,2,40.0
34314,1,3,3,4,4,2,1,2,0,1,4,1.0
34315,5,3,3,4,4,2,0,0,0,2,1,0.0
34317,5,3,3,4,4,2,0,0,0,3,1,0.0
34319,3,3,3,4,4,2,0,0,0,2,3,0.0
34320,5,3,3,4,4,2,0,1,0,2,1,0.0
34322,4,3,3,4,4,2,0,0,0,2,1,187.0
34338,0,3,3,4,4,2,0,0,5,2,4,342.0
34345,3,3,3,4,4,2,0,0,0,1,4,443.0
34394,3,3,3,4,4,2,0,0,0,1,0,0.0
34395,0,3,3,4,4,2,1,3,0,1,2,0.0
34396,4,3,3,4,4,2,0,0,0,1,1,0.0
34397,4,4,4,1,1,4,0,1,0,2,2,0.0
34398,1,4,4,1,1,4,0,0,0,3,2,36.0
34402,8,4,4,1,1,4,1,2,0,1,1,0.0
34403,1,4,4,1,1,4,0,1,0,2,3,0.0
34404,3,4,4,1,1,4,0,0,0,3,3,17.0
34406,2,4,4,1,1,4,0,0,1,2,3,1.0
34407,1,4,4,1,1,4,1,0,0,1,3,263.0
34420,1,4,4,1,1,4,0,3,0,1,2,0.0
34421,6,4,4,1,1,4,1,2,0,1,1,0.0
34422,1,4,4,1,1,4,0,1,0,2,0,0.0
34423,0,4,4,1,1,4,0,0,0,4,2,8.0
34425,1,4,4,1,1,4,0,0,0,2,1,4.0
34426,6,4,4,1,1,4,1,2,0,2,0,0.0
34427,0,4,4,1,1,4,1,2,0,2,3,0.0
34428,3,4,4,1,1,4,0,0,2,3,1,0.0
34429,1,4,4,1,1,4,0,0,0,1,0,0.0
34430,1,4,4,1,1,4,0,1,0,1,0,0.0
34431,2,4,4,1,1,4,1,0,1,1,5,258.0
34466,3,4,4,1,1,4,0,0,2,1,2,330.0
34500,1,4,4,1,1,4,0,5,5,3,1,3.0
34501,1,4,4,1,1,4,0,5,5,3,1,0.0
34502,2,4,4,1,1,4,1,0,0,1,5,0.0
34503,1,4,4,1,1,4,0,0,0,1,1,0.0
34504,1,4,4,1,1,4,1,0,0,1,2,0.0
34505,3,4,4,1,1,4,0,4,0,1,1,0.0
34506,0,4,4,1,1,4,1,2,0,1,4,0.0
34507,1,4,4,1,1,4,0,1,0,1,2,0.0
34510,1,4,4,1,1,4,1,1,0,1,3,0.0
34511,1,4,4,1,1,4,1,1,0,1,3,19.0
34512,1,4,4,1,1,4,1,2,0,2,3,0.0
34513,1,4,4,1,1,4,1,2,0,2,3,19.0
34524,0,4,4,1,1,4,0,4,5,1,0,0.0
34526,0,4,4,1,1,4,1,2,0,1,0,293.0
34550,1,4,4,1,1,4,0,0,0,1,0,8.0
34554,5,4,4,1,1,4,0,1,0,1,0,0.0
34555,1,4,4,1,1,4,0,5,0,1,3,0.0
34556,2,4,4,1,1,4,1,2,0,1,2,0.0
34557,2,4,4,1,1,4,0,1,0,1,0,0.0
34559,0,4,4,1,1,4,1,3,0,1,4,119.0
34570,1,4,4,1,1,4,0,1,0,1,3,7.0
34575,5,4,4,1,1,4,0,0,0,1,0,0.0
34576,4,4,4,1,1,4,0,3,0,1,0,10.0
34579,3,4,2,4,4,1,1,2,2,1,4,13.0
34580,4,4,2,4,4,1,1,0,0,2,3,0.0
34581,2,4,2,4,4,1,0,0,1,3,4,50.0
34585,6,4,2,4,4,1,1,2,0,2,3,72.0
34607,4,4,2,4,4,1,0,0,0,2,0,9.0
34611,4,4,2,4,4,1,1,3,0,2,2,0.0
34612,1,4,2,4,4,1,0,0,0,1,1,10.0
34617,6,4,2,4,4,1,0,1,0,2,2,86.0
34642,5,4,2,4,4,1,0,0,5,2,1,2.0
34643,0,4,2,4,4,1,0,0,0,2,1,101.0
34664,0,4,2,4,4,1,1,0,0,1,4,0.0
34665,3,4,2,4,4,1,0,0,0,2,2,2.0
34667,3,4,2,4,4,1,1,3,0,2,4,295.0
34713,0,4,2,4,4,1,1,2,0,2,2,151.0
34741,0,4,2,4,4,1,1,3,0,3,5,0.0
34742,2,4,2,4,4,1,1,0,0,1,4,4.0
34747,0,4,2,4,4,1,0,1,0,1,1,912.0
34748,1,4,2,4,4,1,1,2,0,1,5,0.0
34751,0,4,2,4,4,1,1,2,0,1,4,90.0
34779,1,4,2,4,4,1,0,1,0,1,1,3.0
34780,2,4,2,4,4,1,1,0,4,1,5,784.0
34823,2,4,2,4,4,1,0,0,1,1,5,616.0
34863,5,4,2,4,4,1,1,2,0,1,4,799.0
34889,0,4,2,4,4,1,1,4,0,1,4,0.0
34890,0,4,2,4,4,1,1,4,0,1,4,5.0
34892,0,4,2,4,4,1,1,0,0,2,4,5.0
34901,1,4,2,4,4,1,1,2,0,1,5,712.0
34932,3,4,2,4,4,1,1,2,2,1,5,20.0
34941,0,4,2,4,4,1,0,1,0,1,5,0.0
34943,2,4,2,4,4,1,1,2,1,1,5,16.0
34950,0,4,2,4,4,1,0,5,0,2,0,1.0
34951,0,4,2,4,4,1,1,0,0,1,1,2.0
34952,4,4,2,4,4,1,0,0,0,1,1,0.0
34953,3,4,3,4,4,2,0,0,0,2,2,127.0
34980,1,4,3,4,4,2,1,2,0,1,1,3.0
34982,0,4,3,4,4,2,0,0,0,2,4,35.0
34993,0,4,3,4,4,2,0,3,0,2,4,20.0
35002,5,4,3,4,4,2,0,0,0,2,1,108.0
35003,5,4,3,4,4,2,0,0,0,2,1,0.0
35027,7,4,3,4,4,2,0,0,0,1,2,0.0
35028,0,4,3,4,4,2,0,3,0,1,0,96.0
35062,1,4,3,4,4,2,0,0,0,1,4,0.0
35063,0,4,3,4,4,2,0,0,0,1,0,51.0
35071,7,4,3,4,4,2,0,0,0,1,0,18.0
35073,1,4,3,4,4,2,1,3,0,1,4,285.0
35099,0,4,3,4,4,2,0,0,0,1,0,129.0
35123,0,4,3,4,4,2,0,0,0,1,0,6.0
35126,0,4,3,4,4,2,0,0,0,1,0,4.0
35129,0,4,3,4,4,2,0,0,0,1,0,3.0
35131,8,4,3,4,4,2,0,0,0,1,0,6.0
35134,0,4,3,4,4,2,0,0,5,1,0,14.0
35139,0,4,3,4,4,2,0,0,0,1,0,23.0
35144,7,2,4,4,4,4,0,0,0,3,4,36.0
35148,0,2,4,4,4,4,0,0,0,3,4,4.0
35150,3,2,4,4,4,4,0,0,2,2,3,75.0
35158,1,2,4,4,4,4,0,0,0,2,2,31.0
35168,0,2,4,4,4,4,0,0,0,2,3,2.0
35169,2,2,4,4,4,4,0,0,5,2,2,0.0
35170,1,2,4,4,4,4,1,2,5,3,1,0.0
35171,3,2,4,4,4,4,0,0,2,3,2,204.0
35193,1,2,4,4,4,4,0,0,0,2,0,9.0
35195,2,2,4,4,4,4,1,1,0,2,3,0.0
35196,2,2,4,4,4,4,1,1,0,2,3,103.0
35197,2,2,4,4,4,4,1,3,0,3,3,0.0
35198,2,2,4,4,4,4,1,3,0,3,3,103.0
35219,0,2,4,4,4,4,0,4,0,2,1,8.0
35224,5,2,4,4,4,4,0,1,0,2,1,0.0
35225,1,2,4,4,4,4,0,1,0,2,2,8.0
35226,0,2,4,4,4,4,1,2,0,1,2,42.0
35239,1,2,4,4,4,4,1,2,0,1,1,112.0
35259,1,2,4,4,4,4,0,0,5,1,1,2.0
35260,4,2,4,4,4,4,1,0,0,1,1,207.0
35285,0,2,4,4,4,4,0,0,0,1,4,0.0
35286,0,2,4,4,4,4,0,1,0,1,2,0.0
35287,0,2,4,4,4,4,1,0,0,1,4,14.0
35295,5,2,4,4,4,4,0,1,0,1,3,0.0
35296,2,2,4,4,4,4,1,3,0,1,0,44.0
35306,2,2,4,4,4,4,1,3,0,1,0,66.0
35319,5,2,4,4,4,4,0,1,0,1,2,0.0
35322,3,2,4,4,4,4,0,0,2,1,0,0.0
35323,1,2,4,4,4,4,0,0,0,1,2,0.0
35324,1,2,4,4,4,4,1,0,0,1,4,19.0
35328,3,4,2,4,4,1,0,0,0,1,1,23.0
35341,0,4,2,4,4,1,0,4,0,1,3,0.0
35342,5,4,2,4,4,1,0,1,0,2,4,0.0
35343,4,4,2,4,4,1,0,0,0,2,4,399.0
35378,0,4,2,4,4,1,0,0,0,2,1,128.0
35412,1,4,2,4,4,1,1,3,0,2,4,46.0
35423,1,4,2,4,4,1,1,3,0,2,4,45.0
35434,0,4,2,4,4,1,1,2,0,2,2,3.0
35436,0,4,2,4,4,1,0,0,0,2,2,28.0
35443,1,4,2,4,4,1,0,0,0,2,1,12.0
35447,2,4,2,4,4,1,0,0,1,3,4,21.0
35452,1,4,2,4,4,1,0,0,0,2,1,0.0
35453,8,4,2,4,4,1,0,0,0,2,1,12.0
35457,0,4,2,4,4,1,1,3,0,2,3,127.0
35471,2,4,2,4,4,1,0,0,0,1,1,2.0
35473,4,4,2,4,4,1,0,0,0,1,3,383.0
35491,0,4,2,4,4,1,0,0,0,1,3,38.0
35500,1,4,2,4,4,1,0,0,0,1,2,5.0
35504,3,4,2,4,4,1,0,5,2,1,5,0.0
35506,0,4,2,4,4,1,0,5,0,1,0,0.0
35507,0,4,2,4,4,1,1,0,0,1,2,148.0
35531,4,4,2,4,4,1,0,0,0,1,2,9.0
35537,0,4,2,4,4,1,0,0,0,1,2,1.0
35538,2,4,2,4,4,1,0,0,0,1,0,38.0
35548,0,4,2,4,4,1,0,0,0,2,1,0.0
35552,3,2,3,1,1,4,0,4,2,2,3,79.0
35577,0,2,3,1,1,4,0,1,0,2,3,0.0
35578,1,2,3,1,1,4,0,1,0,1,4,0.0
35579,3,2,3,1,1,4,0,0,2,1,4,0.0
35580,3,4,3,1,1,3,0,0,2,3,3,0.0
35581,1,4,3,1,1,3,0,0,5,3,1,9.0
35585,0,4,3,1,1,3,0,4,0,2,2,31.0
35597,3,4,3,1,1,3,0,0,0,2,3,16.0
35599,1,4,3,1,1,3,1,2,0,3,2,280.0
35627,1,4,3,1,1,3,1,2,0,1,4,86.0
35650,1,4,3,1,1,3,0,1,0,1,0,0.0
35651,1,4,3,1,1,3,0,0,0,1,0,12.0
35654,3,4,3,1,1,3,0,0,2,1,2,0.0
35656,3,4,3,1,1,3,0,0,2,2,2,0.0
35658,0,4,3,1,1,3,0,5,0,1,1,0.0
35659,1,4,3,1,1,3,1,3,0,1,3,7.0
35660,0,4,2,4,4,1,0,4,0,3,4,75.0
35671,0,4,2,4,4,1,1,3,0,2,3,201.0
35684,3,4,2,4,4,1,1,3,0,3,2,204.0
35731,1,4,2,4,4,1,0,0,5,1,1,0.0
35732,3,4,2,4,4,1,0,4,0,1,4,122.0
35742,0,4,2,4,4,1,0,0,0,2,2,120.0
35764,0,4,2,4,4,1,1,3,0,4,4,118.0
35781,3,4,2,4,4,1,0,0,2,2,3,93.0
35784,3,4,2,4,4,1,0,0,2,2,4,753.0
35819,0,4,2,4,4,1,1,2,0,1,3,14.0
35824,2,4,2,4,4,1,0,0,0,1,0,177.0
35865,2,4,2,4,4,1,1,0,1,1,5,70.0
35881,0,4,2,4,4,1,0,1,0,1,3,13.0
35888,0,4,2,4,4,1,1,3,0,1,0,49.0
35903,3,4,2,4,4,1,0,3,0,1,1,0.0
35904,2,4,2,4,4,1,1,2,0,1,1,2.0
35905,0,4,2,4,4,1,1,2,0,1,0,0.0
35906,1,4,2,4,4,1,1,0,5,1,5,20.0
35909,5,4,3,4,4,1,0,0,0,2,1,4.0
35911,2,4,3,4,4,1,1,0,1,2,5,667.0
35955,2,4,3,4,4,1,0,1,1,1,5,14.0
35958,2,4,3,4,4,1,1,0,1,1,5,278.0
35995,1,4,3,4,4,1,0,0,0,2,1,320.0
36023,0,4,3,4,4,1,0,4,0,2,4,40.0
36039,4,4,3,4,4,1,1,0,0,1,2,946.0
36066,6,4,3,4,4,1,1,0,0,3,1,0.0
36079,5,4,3,4,4,1,0,0,0,2,0,147.0
36115,2,4,3,4,4,1,1,0,1,2,5,769.0
36157,2,4,3,4,4,1,1,0,1,2,5,419.0
36196,2,4,3,4,4,1,1,0,1,2,5,125.0
36227,2,4,3,4,4,1,1,0,1,2,5,262.0
36253,2,4,3,4,4,1,1,0,1,2,5,180.0
36294,2,4,3,4,4,1,1,0,1,2,5,192.0
36310,2,4,3,4,4,1,1,0,1,2,5,0.0
36311,2,4,3,4,4,1,0,0,1,2,4,0.0
36312,2,4,3,4,4,1,1,0,1,2,5,1392.0
36357,2,4,3,4,4,1,1,0,1,2,5,130.0
36397,2,4,3,4,4,1,1,0,1,2,5,324.0
36439,2,4,3,4,4,1,1,0,1,2,5,300.0
36471,2,4,3,4,4,1,1,0,1,2,5,385.0
36514,2,4,3,4,4,1,1,0,1,2,5,223.0
36552,2,4,3,4,4,1,1,0,1,2,5,423.0
36595,2,4,3,4,4,1,1,0,1,2,5,185.0
36633,2,4,3,4,4,1,1,0,1,2,5,399.0
36676,2,4,3,4,4,1,1,0,1,2,5,595.0
36718,0,4,3,4,4,1,0,0,0,2,2,9.0
36723,0,4,3,4,4,1,0,0,0,2,2,36.0
36727,2,4,3,4,4,1,1,0,1,2,5,11.0
36731,1,4,3,4,4,1,1,2,0,2,2,352.0
36741,1,4,3,4,4,1,1,0,0,2,2,0.0
36742,0,4,3,4,4,1,1,0,0,1,5,167.0
36766,2,4,3,4,4,1,1,2,1,1,5,323.0
36810,2,4,3,4,4,1,1,0,1,1,5,856.0
36853,2,4,3,4,4,1,1,0,1,1,5,105.0
36880,2,4,3,4,4,1,1,0,1,1,5,639.0
36923,2,4,3,4,4,1,1,0,1,1,5,353.0
36965,2,4,3,4,4,1,1,0,1,1,5,369.0
36993,2,4,3,4,4,1,1,0,1,1,5,247.0
37034,2,4,3,4,4,1,1,0,1,1,5,1090.0
37078,2,4,3,4,4,1,1,0,1,1,5,770.0
37122,2,4,3,4,4,1,1,0,1,1,5,714.0
37165,2,4,3,4,4,1,1,0,1,1,5,554.0
37207,2,4,3,4,4,1,1,0,1,1,5,231.0
37249,2,4,3,4,4,1,1,0,1,1,5,378.0
37279,2,4,3,4,4,1,1,0,1,1,5,62.0
37305,2,4,3,4,4,1,1,0,1,1,5,111.0
37335,2,4,3,4,4,1,1,0,1,1,5,3.0
37337,5,4,3,4,4,1,1,0,1,1,5,1.0
37338,5,4,3,4,4,1,1,0,1,1,5,179.0
37370,2,4,3,4,4,1,1,0,4,1,5,0.0
37371,2,4,3,4,4,1,1,0,1,1,5,149.0
37384,2,4,3,4,4,1,0,1,1,1,5,5.0
37387,4,4,3,4,4,1,1,0,0,1,0,57.0
37401,2,4,3,4,4,1,0,1,1,1,5,2.0
37402,2,4,3,4,4,1,1,0,1,1,5,0.0
37403,2,4,3,4,4,1,1,0,1,1,5,484.0
37442,1,4,3,4,4,1,1,0,0,1,4,0.0
37443,1,4,3,4,4,1,1,0,0,1,4,408.0
37465,2,4,3,4,4,1,1,0,4,1,5,517.0
37496,3,4,3,4,4,1,0,4,0,1,0,0.0
37497,2,4,3,4,4,1,1,0,1,1,5,18.0
37508,2,4,3,4,4,1,1,0,1,1,5,11.0
37514,3,4,3,4,4,1,0,0,2,1,1,0.0
37515,7,4,3,4,4,1,0,0,0,1,1,0.0
37516,0,4,3,4,4,1,1,0,0,1,3,0.0
37517,1,4,3,4,4,1,1,0,5,1,5,47.0
37522,2,4,3,4,4,1,1,3,0,1,5,64.0
37525,1,2,4,2,1,4,1,3,0,2,3,0.0
37526,1,2,4,2,1,4,0,1,0,2,1,0.0
37527,0,2,4,2,1,4,1,0,0,1,5,0.0
37528,1,2,2,3,3,2,0,4,0,2,2,113.0
37539,4,2,2,3,3,2,0,0,0,2,3,29.0
37543,0,2,2,3,3,2,1,2,5,2,4,31.0
37551,3,2,2,3,3,2,0,0,2,1,1,144.0
37589,0,2,2,3,3,2,1,0,0,1,5,0.0
37590,0,2,2,3,3,2,1,0,5,1,5,0.0
37592,3,2,2,2,3,3,0,0,2,2,2,1.0
37593,2,2,2,2,3,3,0,0,0,2,2,0.0
37594,0,2,2,2,3,3,1,2,0,2,3,0.0
37595,0,2,2,2,3,3,0,4,0,1,1,0.0
37596,3,2,2,2,3,3,0,0,2,1,2,0.0
37597,0,2,2,2,3,3,0,0,0,1,3,0.0
37598,4,2,2,2,3,3,1,0,0,1,4,0.0
37599,0,2,4,4,4,4,0,0,0,2,1,6.0
37601,4,2,4,4,4,4,1,0,0,3,4,0.0
37602,0,2,4,4,4,4,1,2,0,1,4,1.0
37603,4,2,4,4,4,4,0,0,0,1,1,4.0
37604,4,2,4,4,4,4,0,4,0,2,1,21.0
37613,6,2,4,4,4,4,1,2,0,2,3,150.0
37626,0,2,4,4,4,4,0,5,0,4,4,0.0
37627,0,2,4,4,4,4,0,4,0,2,1,38.0
37645,3,2,4,4,4,4,0,0,2,2,1,88.0
37663,0,2,4,4,4,4,0,4,0,1,4,5.0
37666,0,2,4,4,4,4,1,0,0,1,4,177.0
37709,0,2,4,4,4,4,1,0,0,1,3,11.0
37716,1,2,4,4,4,4,1,2,0,1,4,0.0
37717,1,2,4,4,4,4,0,1,0,1,3,0.0
37719,1,2,4,4,4,4,1,0,0,1,3,272.0
37761,1,2,4,4,4,4,1,2,0,1,3,0.0
37762,0,2,4,4,4,4,1,0,0,1,2,0.0
37766,0,2,4,4,4,4,0,0,0,1,1,37.0
37782,0,2,4,4,4,4,0,0,0,1,0,3.0
37783,0,4,2,4,4,1,0,0,0,1,2,43.0
37789,0,4,2,4,4,1,1,0,0,2,4,131.0
37805,0,4,2,4,4,1,1,0,0,2,2,348.0
37829,6,4,2,4,4,1,1,3,0,2,3,0.0
37830,0,4,2,4,4,1,1,2,0,2,3,311.0
37857,0,4,2,4,4,1,0,0,0,1,1,343.0
37902,0,4,2,4,4,1,1,3,0,1,4,450.0
37945,2,4,2,4,4,1,0,1,0,1,1,0.0
37946,0,4,2,4,4,1,1,2,0,1,4,40.0
37948,0,4,2,4,4,1,0,4,0,2,2,121.0
37977,6,4,2,4,4,1,0,0,0,2,1,2.0
37983,0,4,2,4,4,1,0,4,0,2,1,5.0
37985,3,4,2,4,4,1,1,3,2,2,2,216.0
38022,3,4,2,4,4,1,0,4,0,1,1,0.0
38024,0,4,2,4,4,1,0,0,0,1,2,132.0
38048,3,4,2,4,4,1,0,0,0,1,1,0.0
38049,5,4,2,4,4,1,0,0,0,1,2,0.0
38050,5,4,2,4,4,1,0,0,0,1,1,0.0
38051,0,3,4,4,4,3,0,1,0,3,4,0.0
38052,0,3,4,4,4,3,0,3,0,3,3,116.0
38070,1,3,4,4,4,3,0,1,0,2,2,0.0
38071,2,3,4,4,4,3,1,2,1,2,5,0.0
38072,5,3,4,4,4,3,1,3,0,3,2,0.0
38074,5,3,4,4,4,3,1,3,0,4,2,0.0
38076,0,3,4,4,4,3,0,0,0,1,3,0.0
38077,0,3,4,4,4,3,0,4,0,1,1,27.0
38092,0,3,4,4,4,3,1,0,5,1,5,304.0
38132,4,3,4,4,4,3,1,3,0,1,1,7.0
38136,0,3,4,4,4,3,1,0,5,1,5,199.0
38169,2,3,4,4,4,3,1,2,1,1,5,0.0
38170,0,3,4,4,4,3,1,0,0,1,5,135.0
38204,5,3,4,4,4,3,0,4,0,1,3,0.0
38205,1,3,4,4,4,3,1,2,0,1,4,449.0
38228,0,3,4,4,4,3,0,0,0,1,2,0.0
38229,1,3,4,4,4,3,0,0,0,1,1,0.0
38230,0,4,1,4,4,1,0,0,0,2,2,64.0
38253,0,4,1,4,4,1,0,0,0,1,4,6.0
38256,1,4,1,4,4,1,1,2,0,1,4,0.0
38257,0,4,1,4,4,1,1,0,5,1,5,341.0
38298,0,4,1,4,4,1,1,0,5,1,5,487.0
38331,1,4,1,4,4,1,0,1,0,1,4,1.0
38332,0,4,1,4,4,1,1,0,0,1,4,40.0
38334,0,4,3,3,4,2,0,0,0,1,2,0.0
38335,4,4,3,3,4,2,0,0,0,1,1,0.0
38336,0,4,3,3,4,2,1,2,0,1,3,0.0
38337,1,4,3,3,4,2,0,0,0,2,1,7.0
38340,5,4,3,3,4,2,1,2,0,2,2,0.0
38341,2,4,3,3,4,2,1,0,1,2,5,290.0
38385,1,4,3,3,4,2,0,0,5,2,0,0.0
38386,2,4,3,3,4,2,0,0,0,2,3,6.0
38389,2,4,3,3,4,2,0,0,0,2,0,0.0
38391,2,4,3,3,4,2,0,0,0,2,0,4.0
38392,2,4,3,3,4,2,0,0,0,3,0,0.0
38394,2,4,3,3,4,2,0,0,0,3,0,4.0
38395,2,4,3,3,4,2,0,0,0,4,0,0.0
38397,2,4,3,3,4,2,0,0,0,4,0,4.0
38401,1,4,3,3,4,2,0,0,0,3,3,226.0
38428,1,4,3,3,4,2,0,0,0,2,4,0.0
38429,2,4,3,3,4,2,0,0,1,1,3,2.0
